,Clover ID,Name,Alternate Name,Description,Price,Price Type,Price Unit,Cost,Product Code,SKU,Quantity,Hidden?,Default tax rates?,Non-revenue item?,Printer Labels,Modifier Groups,Categories,Tax Rates,Variant Attribute,Variant Option,vendor_x,vendor_y
44,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
45,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
46,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
47,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
48,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
49,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
50,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
51,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
52,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
53,BHPH1GM5EQJH4,Harmless Harvest: Organic Coconut Water 8.75 oz Bottle,,,$3.29,Fixed,,$1.96,859078002672,859078002672,8.0,No,Yes,No,,,Drinks - Energy / Coffee / Tea / Dairy Free,,,,,
54,TZ0BXKWDK3E9M,Gulden's: Spicy Brown Mustard 8 oz Bottle,,,$2.39,Fixed,,$1.25,064144322862,064144322862,1.0,No,Yes,No,,,Groceries - Condiments / Sauces / Spices,,,,,
55,06PRQHXFXVV0A,Pam: Original 6 oz,,,$6.99,Fixed,,$4.27,064144030217,064144030217,,No,Yes,No,,,Groceries,,,,,
56,PP14BGK4Q088Y,Kraft: Grated Parmesan Cheese 3 oz Can,,,$3.49,Fixed,,$2.34,021000615421,021000615421,3.0,No,Yes,No,,,Groceries - Condiments / Sauces / Spices,,,,,
57,NJ0PCDFXQGSJT,Libby's: Corned Beef 12 oz Can,,,$7.99,Fixed,,$3.76,039000081047,039000081047,,No,Yes,No,,,Groceries - Boxed / Canned,,,,,
58,J90B5PYAE28ZG,Kraft: Deluxe - Original Cheddar 14 oz Box,,,$6.99,Fixed,,$4.98,021000658862,021000658862,,No,Yes,No,,,Groceries - Boxed / Canned,,,,,
59,ENTCDS0HW37ZY,Tide: Simply Clean & Fresh - Citrus & Vanilla Bliss 31 oz Bottle,,,$5.49,Fixed,,$2.49,037000607052,037000607052,,No,Yes,No,,,Household - Cleaning Supplies,,,,,
60,9HHN2F5H8P07Y,Jiffy: Corn Muffin Mix 8.5 oz Box,,,$1.29,Fixed,,$0.74,072486002205,072486002205,,No,Yes,No,,,Groceries - Boxed / Canned,,,,,
61,W6NK5J3GQK8HG,Gillette: Fusion 5 Shave Foam 11 oz Can,,,$3.99,Fixed,,$1.99,047400662766,047400662766,,No,Yes,No,,,Hygiene Products,,,,,
62,TPKZCS3B32AHC,Shake N Bake: Original Chicken Seasoned Coating Mix 4.5 Oz,,,$4.99,Fixed,,$3.01,043000057889,043000057889,,No,Yes,No,,,Groceries - Boxed / Canned,,,,,
63,YXBTNKW5JEAA0,Stove Top: Chicken Stuffing Mix 6 oz Box,,,$3.79,Fixed,,$2.37,043000285213,043000285213,,No,Yes,No,,,Groceries - Boxed / Canned,,,,,
64,WY11ATM4APQ6C,Meow Mix: Original Choice 50.4 oz Bag,,,$11.99,Fixed,,$7.57,829274513753,829274513753,,No,Yes,No,,,Pet Products,,,,,
65,5ZMAQJAT3NG6C,Purina: Puppy Chow Healthy Life Nutrition 4.40 LB,,,$10.99,Fixed,,$6.34,017800404006,017800404006,,No,Yes,No,,,Pet Products,,,,,
66,72JRQ7NFXVXZW,Pennsylvania Dutch: Wide Egg Noodles 12.00 Oz,,,$3.99,Fixed,,$2.46,015100026232,015100026232,,No,Yes,No,,,Groceries,,,,,
67,RKGC3ZBHN2GBJ,Febreze: Air Refresher - Fresh Baked Vanilla 8.8 oz Can,,,$3.99,Fixed,,$1.99,037000460121,037000460121,,No,Yes,No,,,Household - Cleaning Supplies,,,,,
68,4DB7APP4XWD00,Sweet Earth: Baja Breakfast Vegetarian Burrito,,,$4.69,Fixed,,$2.95,016741211124,016741211124,3.0,No,Yes,No,,,Frozen Food,,,,,
69,AWP19HYJCQ1DY,Febreze: Air Refresher - Lilac & Violet 8.8 oz Can,,,$3.99,Fixed,,$1.99,037000419570,037000419570,,No,Yes,No,,,Household - Cleaning Supplies,,,,,
70,507326R99EVDC,PeaceTea: Mango Green Tea 23 oz Ca,,,$1.69,Fixed,,$1.06,049000531077,049000531077,,No,Yes,No,,,Drinks - Energy / Coffee / Tea / Dairy Free,,,,,
71,88BS5CFMPAB60,Shoppers Value: Plastic Party Cups 16 oz / 16 Pk,,,$2.99,Fixed,,$1.29,041130285066,041130285066,1.0,No,Yes,No,,,Household - General Products,,,,,
72,D524FCETWHDZ8,Prego: Italian Sauce Traditional 24 oz Bottle,,,$4.89,Fixed,,$2.96,051000025494,051000025494,,No,Yes,No,,,Groceries - Condiments / Sauces / Spices,,,,,
73,VG7EWSWCF9E5A,Pedigree: Choice Cuts In Gravy w/Beef 13.20 OZ,,,$2.59,Fixed,,$1.55,023100015279,023100015279,,No,Yes,No,,,Pet Products,,,,,
74,DWDFD0SPDPKYA,Pedigree: Choice Cuts In Gravy Country Stew 13.20 OZ,,,$2.99,Fixed,,$1.93,023100015088,023100015088,,No,Yes,No,,,Pet Products,,,,,
75,ZHWRMSARC3S4A,Milky Way: Bar 1.84 OZ,,,$1.49,Fixed,,$0.87,040000422068,040000422068,,No,Yes,No,,,Snacks - Candy,,,,,
76,EX17NN7GH82SR,Pearl Milling: Pancake Syrup 12 oz Bottle,,,$4.79,Fixed,,$2.90,030000659809,030000659809,,No,Yes,No,,,Groceries - Condiments / Sauces / Spices,,,,,
77,7V6T2TC7VJJWC,Mug: Root Beer 20 oz Bottle,,,$2.19,Fixed,,$1.12,01291005,01291005,2.0,No,Yes,No,,,Drinks - Soda,,,,,
78,CX2T9Z5W6NRKG,P&G: Dwan Ultra Platinum Ez-Squeeze 12.4 oz Bottle,,,$4.49,Fixed,,$2.49,030772002056,030772002056,,No,Yes,No,,,Household - Cleaning Supplies,,,,,
79,GSN2GVEJEQA76,"Quaker Oats: Red, White, & Blue Crunch Cereal 16.9 oz Box",,,$4.49,Fixed,,$2.59,030000575970,030000575970,,No,Yes,No,,,Groceries - Cereal,,,,,
80,XD4VWT5E9HRRM,Glad: Tall Kitchen Gain Scent 13 Gallon Bags,,,$2.99,Fixed,,$1.33,012587788066,,,No,Yes,No,,,Hygiene Products,,,,,
81,Q1F3YMAXEGZDY,Scotch-Brite: Non-Scratch Scrub Sponge 1 pk,,,$2.49,Fixed,,$1.40,021200001833,021200001833,,No,Yes,No,,,Household - Cleaning Supplies,,,,,
82,BSBSXNJ6VT046,Greenbrier: Paper Plate 6.87 in / 15 ct (DGD),,,$2.69,Fixed,,$1.33,639277139191,,3.0,No,Yes,No,,,Household - General Products,,,,DGD,DGD
83,786RYXYNDT1WE,Nestle: Crunch - Chocolate Crisped Rice 1.55 oz Bar,,,$1.69,Fixed,,$0.66,099900908363,099900908363,,No,Yes,No,,,Snacks - Candy,,,,,
84,V53RMZHEYJE1W,Lysol: Foam Bathroom Cleaner 32 oz Bottle,,,$5.99,Fixed,,$3.93,019200026994,019200026994,1.0,No,Yes,No,,,Household - Cleaning Supplies,,,,,
85,1DY9YDGRHECPC,Gio's: Texas Toast Garlic 8.04 oz Pk,,,$2.99,Fixed,,$1.55,059635975726,059635975726,,No,Yes,No,,,Frozen Food,,,,,
86,5EKX5D87C15E4,Pepsi: Zero Sugar 20 oz Bottle,,,$2.19,Fixed,,$1.30,012000018800,012000018800,7.0,No,Yes,No,,,Drinks - Soda,,,,,
87,ANV698TH7ATBE,Lion & Dove: Sauvignon Blanc - Kosher Wine 750 ml Bottle (DWD),,,$13.49,Fixed,,$7.99,860001031911,,,No,No,No,,,Alcohol - Wines,Processing Charge,,,DWD,DWD
88,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
89,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
90,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
91,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
92,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
93,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
94,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
95,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
96,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
97,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
98,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
99,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
100,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
101,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
102,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
103,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
104,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
105,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
106,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
107,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
108,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
109,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
110,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
111,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
112,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
113,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
114,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
115,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
116,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
117,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
118,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
119,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
120,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
121,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
122,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
123,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
124,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
125,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
126,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
127,CQRS0KXDJ5S3E,Sour Jacks: Green Apple 5 oz Bag (CGD),,,$2.99,Fixed,,$1.09,034856125235,034856125280,2.0,No,Yes,No,,,Snacks - Candy,,,,CGD,CGD
128,47TZY0MVQWDXP,Prego: Italian Sauce with Meat 24 oz Bottle,,,$5.19,Fixed,,$3.14,051000027948,051000027948,,No,Yes,No,,,Groceries - Condiments / Sauces / Spices,,,,,
129,H4TH8CHJN88GA,Febreze: Fabric Refresher - Extra Strength Original Scent 6.7 oz Bottle,,,$3.99,Fixed,,$1.99,037000294573,037000294573,,No,Yes,No,,,Household - Cleaning Supplies,,,,,
130,5JCSSJVZEKVXC,Febreze: Air Refresher - Fresh Cut Pine 8.8 oz Can,,,$3.99,Fixed,,$1.99,037000455424,037000455424,1.0,No,Yes,No,,,Household - Cleaning Supplies,,,,,
131,37AZZP3G1BWW0,"Posada: Egg, Bacon & 3 Cheese Breakfast Burrito",,,$3.39,Fixed,,$1.90,073202107174,073202107174,1.0,No,Yes,No,,,Frozen Food,,,,,
132,XMNM10XCPAPPC,Sour Jacks: Original Sour Wedges 5 oz Bag (CGD),,,$2.99,Fixed,,$1.09,034856125211,034856125211,2.0,No,Yes,No,,,Snacks - Candy,,,,CGD,CGD
133,1E3F392EY2TEY,Glad: Tall Kitchen Clorox 13 Gallon Bags,,,$2.99,Fixed,,$1.33,012587793183,,,No,Yes,No,,,Hygiene Products,,,,,
134,KM31ETAWGNR7C,Royal Dansk: Luxury Wafers with Chocolate Creme Filling 12.3 oz Can (OGD),,,$6.99,Fixed,,$3.99,077330578370,077330578370,,No,Yes,No,,,Snacks,,,,OGD,OGD
135,JDB47K8CRD49J,Sour Jacks: Wildberry 5 oz Bag (CGD),,,$2.99,Fixed,,$1.09,034856125297,034856125297,,No,Yes,No,,,Snacks - Candy,,,,CGD,CGD
136,X2ACPT24NBVQW,Original Gourmet: Hard Candy - Lemon Drops 10 oz Bag (OGD),,,$2.59,Fixed,,$1.38,654954238912,,,No,Yes,No,,,Snacks - Candy,,,,OGD,OGD
137,ZVWH5GBCV2X92,Prego: Italian Sauce Traditional 14 oz Bottle,,,$3.89,Fixed,,$2.22,051000025487,,,No,Yes,No,,,Groceries - Condiments / Sauces / Spices,,,,,
138,R6KCF5NMT91P8,David: Sunflower Seeds - Jumbo Bar-B-Q 5.75 oz Bag (CGD),,,$2.99,Fixed,,$1.59,026200465722,026200465722,,Yes,Yes,No,,,Snacks - Nuts,,,,CGD,CGD
139,J5SA84ZXNR288,David: Sunflower Seeds - Jumbo Sweet & Salty 5.25 oz Bag (CGD),,,$2.99,Fixed,,$1.59,026200464633,026200464633,,Yes,Yes,No,,,Snacks - Nuts,,,,CGD,CGD
140,SVXAB3X5Z53KW,David: Sunflower Seeds - Jumbo Sweet & Spicy 5.25 oz Bag (CGD),,,$2.99,Fixed,,$1.59,026200464640,026200464640,,Yes,Yes,No,,,Snacks - Nuts,,,,CGD,CGD
141,7RX1A8WN8T1QJ,Monocacy: Hyperion's Chaos - New England IPA 16 oz / 4 pk Cans (MBD),,,$13.99,Fixed,,$9.00,051497106027,,5.0,No,No,No,Beer,,Alcohol - Beers,Processing Charge,,,MBD,MBD
142,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
143,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
144,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
145,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
146,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
147,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
148,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
149,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
150,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
151,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
152,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
153,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
154,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
155,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
156,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
157,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
158,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
159,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
160,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
161,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
162,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
163,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
164,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
165,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
166,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
167,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
168,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
169,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
170,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
171,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
172,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
173,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
174,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
175,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
176,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
177,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
178,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
179,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
180,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
181,319WC8DSQ9M3G,Scoop Away: Cat Litter 10.5 L Bag,,,$7.29,Fixed,,$4.37,,,6.0,No,Yes,No,,,Pet Products,,,,,
182,62P0044D99KBY,Pepcid AC: Acid Reducer 20 mg Tablets 8 ct pk,,,$9.49,Fixed,,$5.77,716837855088,716837855088,,No,No,No,,,Medicine / Vitamins,Processing Charge,,,,
183,,,,,,,,,,,,,,,,,,Retail Tax,,,,
184,,,,,,,,,,,,,,,,,,Retail Tax,,,,
185,,,,,,,,,,,,,,,,,,Retail Tax,,,,
186,,,,,,,,,,,,,,,,,,Retail Tax,,,,
187,,,,,,,,,,,,,,,,,,Retail Tax,,,,
188,,,,,,,,,,,,,,,,,,Retail Tax,,,,
189,,,,,,,,,,,,,,,,,,Retail Tax,,,,
190,,,,,,,,,,,,,,,,,,Retail Tax,,,,
191,,,,,,,,,,,,,,,,,,Retail Tax,,,,
192,,,,,,,,,,,,,,,,,,Retail Tax,,,,
193,,,,,,,,,,,,,,,,,,Retail Tax,,,,
194,,,,,,,,,,,,,,,,,,Retail Tax,,,,
195,,,,,,,,,,,,,,,,,,Retail Tax,,,,
196,,,,,,,,,,,,,,,,,,Retail Tax,,,,
197,,,,,,,,,,,,,,,,,,Retail Tax,,,,
198,,,,,,,,,,,,,,,,,,Retail Tax,,,,
199,,,,,,,,,,,,,,,,,,Retail Tax,,,,
200,,,,,,,,,,,,,,,,,,Retail Tax,,,,
201,,,,,,,,,,,,,,,,,,Retail Tax,,,,
202,,,,,,,,,,,,,,,,,,Retail Tax,,,,
203,,,,,,,,,,,,,,,,,,Retail Tax,,,,
204,,,,,,,,,,,,,,,,,,Retail Tax,,,,
205,,,,,,,,,,,,,,,,,,Retail Tax,,,,
206,,,,,,,,,,,,,,,,,,Retail Tax,,,,
207,,,,,,,,,,,,,,,,,,Retail Tax,,,,
208,,,,,,,,,,,,,,,,,,Retail Tax,,,,
209,,,,,,,,,,,,,,,,,,Retail Tax,,,,
210,,,,,,,,,,,,,,,,,,Retail Tax,,,,
211,,,,,,,,,,,,,,,,,,Retail Tax,,,,
212,,,,,,,,,,,,,,,,,,Retail Tax,,,,
213,,,,,,,,,,,,,,,,,,Retail Tax,,,,
214,,,,,,,,,,,,,,,,,,Retail Tax,,,,
215,,,,,,,,,,,,,,,,,,Retail Tax,,,,
216,,,,,,,,,,,,,,,,,,Retail Tax,,,,
217,,,,,,,,,,,,,,,,,,Retail Tax,,,,
218,,,,,,,,,,,,,,,,,,Retail Tax,,,,
219,,,,,,,,,,,,,,,,,,Retail Tax,,,,
220,,,,,,,,,,,,,,,,,,Retail Tax,,,,
221,,,,,,,,,,,,,,,,,,Retail Tax,,,,
222,5RH61TEESQW3W,Red Shedman: Blueberry Cobbler Hard Cider 12 oz / 4 pk Cans (RBD),,,$13.99,Fixed,,$9.00,642014222865,,,No,No,No,Beer,,Alcohol - Beers,Processing Charge,,,RBD,RBD
223,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
224,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
225,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
226,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
227,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
228,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
229,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
230,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
231,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
232,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
233,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
234,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
235,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
236,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
237,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
238,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
239,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
240,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
241,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
242,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
243,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
244,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
245,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
246,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
247,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
248,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
249,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
250,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
251,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
252,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
253,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
254,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
255,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
256,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
257,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
258,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
259,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
260,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
261,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
262,1AK2Y1XHFAT2C,Red Shedman: Cosmic Punch Hazy IPA 12 oz / 6 pk Cans (RBD),,,$17.49,Fixed,,$11.25,642014223398,,,No,No,No,Beer,,Alcohol - Beers,Processing Charge,,,RBD,RBD
263,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
264,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
265,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
266,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
267,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
268,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
269,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
270,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
271,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
272,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
273,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
274,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
275,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
276,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
277,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
278,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
279,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
280,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
281,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
282,,,,,,,,,,,,,,,,,,Alcohol Tax,,,,
